id;gruppo;giorno;peso
ctrD;4;3;7.11
ctrD;4;4;7.6
ctrD;4;5;7.88
ctrD;4;6;8.19
ctrD;4;7;8.96
ctrD;4;8;9.6
ctrD;4;9;10.17
ctrD;4;10;11.29
ctrD;4;11;12.1
ctrD;4;12;12.24
ctrD;4;13;12.97
ctrD;4;14;13.76
ctrD;4;15;14.54
ctrD;4;16;15.14
ctrD;4;17;15.54
ctrE;4;1;6.63
ctrE;4;2;6.38
ctrE;4;3;6.72
ctrE;4;4;7
ctrE;4;5;7.18
ctrE;4;6;7.6
ctrE;4;7;8.16
ctrE;4;8;8.77
ctrE;4;9;9.48
ctrE;4;10;10.3
ctrE;4;11;10.8
ctrE;4;12;11.67
ctrE;4;13;12.66
ctrE;4;14;13.96
ctrE;4;15;14.62
ctrE;4;16;15.2
ctrE;4;17;15.58
